contrast,pair_id,first_z,second_z,difference
confusion_resolution,1,0.7279844880104065,0.19874338805675507,0.5292410999536514
confusion_resolution,2,1.2239999771118164,0.921780526638031,0.3022194504737854
confusion_resolution,3,1.2858753204345703,0.769741952419281,0.5161333680152893
confusion_resolution,4,0.9418751001358032,0.7641854882240295,0.17768961191177368
distress_relief,1,-0.8351356983184814,-0.6403425335884094,-0.19479316473007202
distress_relief,2,-1.623245358467102,-1.2135274410247803,-0.4097179174423218
distress_relief,3,-0.3788536489009857,-0.6692643761634827,0.29041072726249695
distress_relief,4,-1.0785897970199585,-0.6082280278205872,-0.47036176919937134
failure_success,1,0.9942435026168823,0.0025684672873467207,0.9916750353295356
failure_success,2,0.6824012994766235,-0.14209264516830444,0.824493944644928
failure_success,3,0.5769616365432739,-0.8306825160980225,1.4076441526412964
failure_success,4,1.5108416080474854,0.5720351338386536,0.9388064742088318
incompetence_competence,1,0.44387882947921753,-0.09256155043840408,0.5364403799176216
incompetence_competence,2,0.5398939251899719,-0.4400274455547333,0.9799213707447052
incompetence_competence,3,0.6275631785392761,-0.2380123734474182,0.8655755519866943
incompetence_competence,4,-0.24513362348079681,-0.10371589660644531,-0.1414177268743515
rejection_acceptance,1,1.026516318321228,-0.35997194051742554,1.3864882588386536
rejection_acceptance,2,0.6632801294326782,-0.7936052083969116,1.4568853378295898
rejection_acceptance,3,0.807314395904541,-0.3682902753353119,1.175604671239853
rejection_acceptance,4,-0.01602761633694172,-0.44317805767059326,0.42715044133365154
self_other,1,-0.8570232391357422,-0.960672914981842,0.10364967584609985
self_other,2,-0.7078069448471069,-0.9832119941711426,0.27540504932403564
self_other,3,-0.37137535214424133,-0.705856204032898,0.3344808518886566
self_other,4,-1.0846381187438965,-0.8673853874206543,-0.2172527313232422
self_other,5,-0.9113990068435669,-0.6311928033828735,-0.28020620346069336
shame_pride,1,0.6210677623748779,-0.018375257030129433,0.6394430194050074
shame_pride,2,0.6474508047103882,-0.05205034464597702,0.6995011493563652
shame_pride,3,0.08775348961353302,-0.44469648599624634,0.5324499756097794
shame_pride,4,0.2815999388694763,-0.05639467015862465,0.33799460902810097
