contrast,pair_id,first_z,second_z,difference
confusion_resolution,1,0.2361704707145691,-0.34248587489128113,0.5786563456058502
confusion_resolution,2,0.8983714580535889,0.606146514415741,0.2922249436378479
confusion_resolution,3,0.8403087854385376,0.4945255517959595,0.3457832336425781
confusion_resolution,4,0.5320177674293518,0.34387490153312683,0.18814286589622498
distress_relief,1,-1.0183806419372559,-0.7538830637931824,-0.2644975781440735
distress_relief,2,-1.673211932182312,-1.2650704383850098,-0.40814149379730225
distress_relief,3,-0.7807937264442444,-0.623045802116394,-0.15774792432785034
distress_relief,4,-1.2809183597564697,-0.8597819805145264,-0.42113637924194336
failure_success,1,0.4332667291164398,-0.40324869751930237,0.8365154266357422
failure_success,2,-0.025755710899829865,-0.3905315101146698,0.36477579921483994
failure_success,3,0.16801437735557556,-0.5548329949378967,0.7228473722934723
failure_success,4,1.0778065919876099,-0.01614529639482498,1.0939518883824348
incompetence_competence,1,0.11022528260946274,-0.08018677681684494,0.19041205942630768
incompetence_competence,2,-0.06153709813952446,-0.3450165092945099,0.28347941115498543
incompetence_competence,3,0.41089001297950745,0.100965715944767,0.30992429703474045
incompetence_competence,4,-0.5800330638885498,-0.4523567259311676,-0.1276763379573822
rejection_acceptance,1,0.9071321487426758,-0.28654175996780396,1.1936739087104797
rejection_acceptance,2,0.5998998880386353,-0.6626794338226318,1.262579321861267
rejection_acceptance,3,0.8257642984390259,-0.07518118619918823,0.9009454846382141
rejection_acceptance,4,0.03137419372797012,-0.39584434032440186,0.427218534052372
self_other,1,-0.44559797644615173,-0.8119409084320068,0.3663429319858551
self_other,2,-0.8513824343681335,-0.9699204564094543,0.1185380220413208
self_other,3,-0.08497825264930725,-0.4239504933357239,0.3389722406864166
self_other,4,-0.953632652759552,-0.807827889919281,-0.145804762840271
self_other,5,-0.9205926656723022,-0.9127796292304993,-0.007813036441802979
shame_pride,1,0.4872651696205139,-0.2883472740650177,0.7756124436855316
shame_pride,2,0.6356396675109863,0.17966853082180023,0.4559711366891861
shame_pride,3,0.15052679181098938,-0.41486573219299316,0.5653925240039825
shame_pride,4,0.3303472399711609,-0.07255979627370834,0.40290703624486923
