set,control,pain,pain_minus_control
1,-0.3427162766456604,0.7210534699261189,1.0637697465717793
2,0.0194866806268692,0.4685547947883606,0.4490681141614914
3,-0.4507294297218323,-0.14085027389228344,0.30987915582954884
4,-0.3568253517150879,-0.01685822755098343,0.33996712416410446
5,-0.5988211035728455,-0.21721570938825607,0.3816053941845894
6,-0.5318363904953003,0.2528892308473587,0.784725621342659
7,-0.12872441858053207,-0.3792078495025635,-0.2504834309220314
8,-0.3236122131347656,0.2750261165201664,0.598638329654932
9,-0.2986113727092743,-0.34141694754362106,-0.04280557483434677
10,-0.450600266456604,-0.4927099421620369,-0.04210967570543289
11,-0.34481149911880493,0.15643689036369324,0.5012483894824982
12,-0.3316055238246918,-0.08468456566333771,0.24692095816135406
13,0.04375883936882019,0.1800120323896408,0.13625319302082062
14,0.12684762477874756,-0.012423783540725708,-0.13927140831947327
15,-0.6380691230297089,-1.012809544801712,-0.3747404217720032
16,-0.1634511798620224,-0.3262450376423658,-0.1627938577803434
17,-0.23790711164474487,0.14489595592021942,0.3828030675649643
18,0.32539936900138855,0.48521542362868786,0.1598160546272993
19,-0.7902373671531677,-0.37472179532051086,0.41551557183265686
20,-0.16747021675109863,-0.0011303424835205078,0.16633987426757812
